nc_072320.1 stipa tianschanica chloroplast, complete genome
nc_063090.1 bambusa variostriata isolate hty020 chloroplast, complete genome
nc_068060.1 bambusa x changningensis chloroplast, complete genome
nc_053748.1 bambusa pervariabilis chloroplast, complete genome
nc_050772.1 bambusa bicicatricata chloroplast, complete genome
nc_050754.1 bambusa boniopsis chloroplast, complete genome
nc_063134.1 bambusa stenostachya voucher personal collection:kung,k.n.3185 chloroplast, complete genome
nc_063148.1 bambusa utilis voucher personal collection:kung,k.n.3026 chloroplast, complete genome
nc_063131.1 bambusa dolichomerithalla voucher personal collection:kung,k.n.3150 chloroplast, complete genome
nc_059750.1 bambusa lapidea chloroplast, complete genome
nc_063132.1 bambusa pachinensis voucher personal collection:kung,k.n.3152 chloroplast, complete genome
nc_012927.1 bambusa oldhamii chloroplast, complete genome
nc_063133.1 bambusa dolichoclada voucher personal collection:kung,k.n.3156 chloroplast, complete genome
nc_050300.1 bambusa rigida chloroplast, complete genome
nc_015830.1 bambusa emeiensis chloroplast, complete genome
nc_050770.1 bambusa cornigera chloroplast, complete genome
nc_050773.1 bambusa basihirsuta chloroplast, complete genome
nc_050768.1 bambusa oliveriana chloroplast, complete genome
nc_050751.1 bambusa teres chloroplast, complete genome
nc_050780.1 bambusa vulgaris cultivar wamin chloroplast, complete genome
nc_050774.1 bambusa flexuosa chloroplast, complete genome
nc_050781.1 bambusa sinospinosa chloroplast, complete genome
nc_058217.1 bambusa stenoaurita chloroplast, complete genome
nc_068816.1 bambusa grandis isolate dlz chloroplast, complete genome
nc_050775.1 bambusa rutila chloroplast, complete genome
nc_071780.1 bambusa textilis chloroplast, complete genome
nc_059751.1 bambusa contracta chloroplast, complete genome
nc_050771.1 bambusa odashimae chloroplast, complete genome
nc_031333.1 oryza sativa cultivar tn1 chloroplast, complete genome
nc_053278.1 oryza malampuzhaensis chloroplast, complete genome
nc_016927.1 oryza meridionalis chloroplast, complete genome
nc_034764.1 oryza ridleyi chloroplast, complete genome
nc_027460.1 oryza barthii isolate 103590 chloroplast, complete genome
nc_034762.1 oryza latifolia chloroplast, complete genome
nc_030596.1 oryza brachyantha chloroplast, complete genome
nc_034759.1 oryza eichingeri chloroplast, complete genome
nc_053276.1 oryza neocaledonica chloroplast, complete genome
nc_005973.1 oryza nivara chloroplast, complete genome
nc_027461.1 oryza glumipatula chloroplast, complete genome
nc_027463.1 oryza officinalis chloroplast, complete genome
nc_017835.1 oryza rufipogon chloroplast, complete genome
nc_030298.1 oryza minuta cultivar irgc 101099 chloroplast, complete genome
nc_008155.1 oryza sativa indica group chloroplast, complete genome
nc_034765.1 oryza meyeriana chloroplast, complete genome
nc_001320.1 oryza sativa japonica group plastid, complete genome
nc_024175.1 oryza glaberrima plastid, complete genome
nc_027462.1 oryza longistaminata isolate 103905 chloroplast, complete genome
nc_036934.1 oryza coarctata chloroplast, complete genome
nc_027676.1 oryza punctata voucher gen1233_2 chloroplast, complete genome
nc_034758.1 oryza rhizomatis chloroplast, complete genome
nc_034763.1 oryza longiglumis chloroplast, complete genome
nc_053277.1 oryza schlechteri chloroplast, complete genome
nc_034761.1 oryza grandiglumis chloroplast, complete genome
nc_034760.1 oryza alta chloroplast, complete genome
nc_024608.1 oryza australiensis isolate 86524 chloroplast, complete genome
nc_044175.1 avena occidentalis chloroplast, complete genome
nc_044172.1 avena brevis chloroplast, complete genome
nc_044160.1 avena wiestii chloroplast, complete genome
nc_044161.1 avena canariensis chloroplast, complete genome
nc_044170.1 avena fatua chloroplast, complete genome
nc_044158.1 avena abyssinica chloroplast, complete genome
nc_044167.1 avena clauda chloroplast, complete genome
nc_044168.1 avena vaviloviana chloroplast, complete genome
nc_044148.1 avena hybrida chloroplast, complete genome
nc_044149.1 avena lusitanica chloroplast, complete genome
nc_044166.1 avena damascena chloroplast, complete genome
nc_044163.1 avena atlantica chloroplast, complete genome
nc_044164.1 avena hispanica chloroplast, complete genome
nc_027468.1 avena sativa voucher can:saarela 775 plastid, complete genome
nc_044169.1 avena longiglumis chloroplast, complete sequence
nc_044157.1 avena eriantha chloroplast, complete genome
nc_031650.1 avena sterilis chloroplast, complete genome
nc_044174.1 avena murphyi chloroplast, complete genome
nc_044159.1 avena agadiriana chloroplast, complete genome
nc_044147.1 avena nuda chloroplast, complete genome
nc_050395.1 avena hirtula chloroplast, complete genome
nc_044162.1 avena maroccana chloroplast, complete genome
nc_044171.1 avena strigosa chloroplast, complete genome
nc_044165.1 avena ventricosa chloroplast, complete genome
nc_044173.1 avena barbata chloroplast, complete genome
nc_041567.1 eriachne melicacea chloroplast, complete genome
nc_025234.1 eriachne stipacea plastid, complete genome
nc_034791.1 eriachne armittii voucher can:j. saarela 1808 chloroplast, complete genome
nc_041249.1 eriachne triseta chloroplast, complete genome
nc_041561.1 eriachne basedowii chloroplast, complete genome
nc_041565.1 eriachne glauca chloroplast, complete genome
nc_041560.1 eriachne axillaris chloroplast, complete genome
nc_041557.1 eriachne agrostidea chloroplast, complete genome
nc_041569.1 eriachne pallescens chloroplast, complete genome
nc_041568.1 eriachne obtusa chloroplast, complete genome
nc_041563.1 eriachne ciliata chloroplast, complete genome
nc_041573.1 eriachne sulcata chloroplast, complete genome
nc_041574.1 eriachne triodioides chloroplast, complete genome
nc_041572.1 eriachne semiciliata chloroplast, complete genome
nc_041566.1 eriachne major chloroplast, complete genome
nc_041571.1 eriachne schultziana chloroplast, complete genome
nc_041558.1 eriachne aristidea chloroplast, complete genome
nc_035529.1 eriachne mucronata isolate latz13498 chloroplast, complete genome
nc_041562.1 eriachne burkittii chloroplast, complete genome
nc_042831.1 eriachne tenuiculmis chloroplast, complete genome
nc_041559.1 eriachne avenacea chloroplast, complete genome
nc_041564.1 eriachne compacta chloroplast, complete genome
nc_041570.1 eriachne pauciflora chloroplast, complete genome
nc_081692.1 tillandsia maya isolate t638 voucher cicy:ramirez-morillo 965 chloroplast, complete genome
nc_081728.1 tillandsia setacea isolate t909 voucher mexu:granados mendoza 842 chloroplast, complete genome
nc_081731.1 tillandsia spiraliflora isolate t1641 voucher u:2007gr01373 chloroplast, complete genome
nc_081668.1 tillandsia ionantha isolate t1108 voucher mexu:granados mendoza 1001 chloroplast, complete genome
nc_081702.1 tillandsia parryi isolate t1151 voucher mexu:granados mendoza 1044 chloroplast, complete genome
nc_081622.1 tillandsia bourgaei isolate t1122 voucher mexu:1015 granados mendoza chloroplast, complete genome
nc_081611.1 tillandsia albertiana isolate t1511 voucher u:1997gr00632 chloroplast, complete genome
nc_065188.1 tillandsia schiedeana isolate t1199 voucher mexu:granados mendoza 1081 chloroplast, complete genome
nc_081744.1 tillandsia ulrici isolate t1544 voucher u:2008gr01341 chloroplast, complete genome
nc_081726.1 tillandsia rubroviolacea isolate t1618 voucher u:2006gr01448 chloroplast, complete genome
nc_081699.1 tillandsia oaxacana isolate t511 voucher mexu:granados-aguilar 29 chloroplast, complete genome
nc_081684.1 tillandsia lucida isolate t1209 voucher mexu:granados mendoza 1091 chloroplast, complete genome
nc_081621.1 tillandsia botterii isolate t1205 voucher mexu:1087 granados mendoza chloroplast, complete genome
nc_081645.1 tillandsia erubescens isolate t910 voucher mexu:843 granados mendoza chloroplast, complete genome
nc_065184.1 tillandsia imperialis isolate t1139 voucher mexu:granados mendoza 1032 chloroplast, complete genome
nc_081616.1 tillandsia arequitae isolate t1581 voucher mvfa:402 rossado chloroplast, complete genome
nc_081746.1 tillandsia violacea isolate t1124 voucher mexu:granados mendoza 1035 chloroplast, complete genome
nc_081661.1 tillandsia hintoniana isolate t231 voucher mexu:salazar 9199 chloroplast, complete genome
nc_081642.1 tillandsia dugesii isolate t1118 voucher mexu:1011 granados mendoza chloroplast, complete genome
nc_081730.1 tillandsia somnians isolate t1509 voucher u:1997gr00607 chloroplast, complete genome
nc_081739.1 tillandsia tecolometl isolate t1433 voucher hgom:martinez-garcia 50 chloroplast, complete genome
nc_065173.1 tillandsia bermejoensis isolate t1261 voucher 002586-21 chloroplast, complete genome
nc_081640.1 tillandsia dasyliriifolia isolate t665 voucher cicy:2097 ramirez-morillo chloroplast, complete genome
nc_065181.1 tillandsia espinosae isolate t1520 voucher 1999gr01274 chloroplast, complete genome
nc_081750.1 tillandsia xiphioides isolate t1609 voucher mvfa:rossado 23 chloroplast, complete genome
nc_081701.1 tillandsia paleacea isolate t1530 voucher u:2003gr01703 chloroplast, complete genome
nc_065185.1 tillandsia ixioides isolate t1604 voucher mvfa:rossado 84 chloroplast, complete genome
nc_081734.1 tillandsia streptophylla isolate t1230 voucher mexu:granados mendoza 1112 chloroplast, complete genome
nc_065187.1 tillandsia punctulata isolate t1195 voucher mexu:granados mendoza 1077 chloroplast, complete genome
nc_081698.1 tillandsia nidus isolate t1114 voucher mexu:granados mendoza 1007 chloroplast, complete genome
nc_081643.1 tillandsia ehlersiana isolate t1647 voucher u:1998gr01468 chloroplast, complete genome
nc_081735.1 tillandsia stricta isolate t1587 voucher mexu:rossado 563 chloroplast, complete genome
nc_081693.1 tillandsia may-patii isolate t624 voucher cicy:carnevali 5094a chloroplast, complete genome
nc_081625.1 tillandsia capitata isolate t616 voucher cicy:s/n carnevali chloroplast, complete genome
nc_081685.1 tillandsia lymanii isolate t1508 voucher u:1997gr00603 chloroplast, complete genome
nc_081618.1 tillandsia balbisiana isolate t1173 voucher mexu:1055 granados mendoza chloroplast, complete genome
nc_081707.1 tillandsia propagulifera isolate t1644 voucher u:2007gr01155 chloroplast, complete genome
nc_081655.1 tillandsia grossispicata isolate t617 voucher cicy:carnevali s/n chloroplast, complete genome
nc_081612.1 tillandsia albida isolate t1088 voucher mexu:994 granados mendoza chloroplast, complete genome
nc_081690.1 tillandsia makoyana isolate t1112 voucher mexu:granados mendoza 1005 chloroplast, complete genome
nc_081683.1 tillandsia lotteae isolate t1528 voucher u:2002gr01412 chloroplast, complete genome
nc_065191.1 tillandsia utriculata isolate t865 voucher cicy:ramirez morillo 227 chloroplast, complete genome
nc_065189.1 tillandsia sphaerocephala isolate t1531 voucher 2003gr01705 chloroplast, complete genome
nc_081747.1 tillandsia welzii isolate t1627 voucher u:1999gr01496 chloroplast, complete genome
nc_081686.1 tillandsia macdougallii isolate t182 voucher mexu:flores cruz 1828 chloroplast, complete genome
nc_081641.1 tillandsia denudata isolate t1555 voucher u:2009gr01738 chloroplast, complete genome
nc_081749.1 tillandsia wuelfinghoffii isolate t1626 voucher u:2008gr01365 chloroplast, complete genome
nc_081722.1 tillandsia roland-gosselinii isolate t625 voucher cicy:carnevali s/n chloroplast, complete genome
nc_081688.1 tillandsia macrochlamys isolate t1086 voucher mexu:granados mendoza 992 chloroplast, complete genome
nc_081667.1 tillandsia intermedia isolate t1171 voucher mexu:granados mendoza 1053 chloroplast, complete genome
nc_081669.1 tillandsia jaguactalensis isolate t627 voucher cicy:ramirez-morillo 1198 chloroplast, complete genome
nc_081678.1 tillandsia langlasseana isolate t311 voucher mexu:cornejo tenorio 4289 chloroplast, complete genome
nc_081737.1 tillandsia suesilliae isolate t347 voucher mexu:reyes 8476 chloroplast, complete genome
nc_081719.1 tillandsia reversa isolate t1648 voucher u:2010gr00558 chloroplast, complete genome
nc_081718.1 tillandsia remota isolate t1620 voucher u:1999gr01343 chloroplast, complete genome
nc_081691.1 tillandsia marnieri-lapostollei isolate t1553 voucher u:2008gr01452 chloroplast, complete genome
nc_081695.1 tillandsia multicaulis isolate t1194 voucher mexu:granados mendoza 1076 chloroplast, complete genome
nc_081637.1 tillandsia copalaensis isolate t962 voucher mexu:868 granados mendoza chloroplast, complete genome
nc_081672.1 tillandsia juncea isolate t1218 voucher mexu:granados mendoza 1100 chloroplast, complete genome
nc_081664.1 tillandsia hubertiana isolate t1107 voucher mexu:granados mendoza 1000 chloroplast, complete genome
nc_081649.1 tillandsia filifolia isolate t1202 voucher mexu:granados mendoza 1084 chloroplast, complete genome
nc_065186.1 tillandsia malzinei isolate t262 voucher mexu:salazar 9366 chloroplast, complete genome
nc_081634.1 tillandsia circinnatioides isolate t1136 voucher mexu:1029 granados mendoza chloroplast, complete genome
nc_081723.1 tillandsia roseospicata isolate t1138 voucher mexu:granados mendoza 1031 chloroplast, complete genome
nc_081660.1 tillandsia hildae isolate t1649 voucher u:2014gr00570 chloroplast, complete genome
nc_081732.1 tillandsia stoltenii isolate t1546 voucher u:2008gr01412 chloroplast, complete genome
nc_081727.1 tillandsia seleriana isolate t499 voucher mexu:granados-aguilar 15 chloroplast, complete genome
nc_081705.1 tillandsia polystachia isolate t622 voucher cicy:ramirez-morillo 1918 chloroplast, complete genome
nc_081671.1 tillandsia joel-mandimboensis isolate t1078 voucher mexu:flores cruz 2286 chloroplast, complete genome
nc_081629.1 tillandsia caulescens isolate t1518 voucher u:1998gr01502 chloroplast, complete genome
nc_081713.1 tillandsia quaquaflorifera isolate t126 voucher mexu:granados mendoza (386)1140 chloroplast, complete genome
nc_081708.1 tillandsia pruinosa isolate t1470 voucher hgom:hornung-leoni 1396 chloroplast, complete genome
nc_081615.1 tillandsia andrieuxii isolate t1157 voucher hgom:55 martinez-garcia chloroplast, complete genome
nc_081646.1 tillandsia esseriana isolate t1514 voucher u:1998gr01021 chloroplast, complete genome
nc_081644.1 tillandsia eistetteri isolate t1169 voucher mexu:1051 granados mendoza chloroplast, complete genome
nc_081628.1 tillandsia carlos-hankii isolate t527 voucher mexu:55 granados-aguilar chloroplast, complete genome
nc_081659.1 tillandsia heterophylla isolate t1203 voucher mexu:granados mendoza 1085 chloroplast, complete genome
nc_081733.1 tillandsia streptocarpa isolate t1582 voucher mvfa:rossado 599 chloroplast, complete genome
nc_081627.1 tillandsia cardenasii isolate t1262 voucher mexu:1142 granados mendoza chloroplast, complete genome
nc_081689.1 tillandsia magnusiana isolate t1130 voucher mexu:granados mendoza 1023 chloroplast, complete genome
nc_065180.1 tillandsia edithae isolate t1498 voucher 1996gr00003 chloroplast, complete genome
nc_081639.1 tillandsia cossoni isolate t308 voucher mexu:4287 cornejo tenorio chloroplast, complete genome
nc_081662.1 tillandsia hondurensis isolate t1563 voucher u:2013gr00732 chloroplast, complete genome
nc_081677.1 tillandsia landbeckii isolate t1269 voucher mexu:granados mendoza 1149 chloroplast, complete genome
nc_081620.1 tillandsia bochilensis isolate t466 voucher mexu:9599 salazar chloroplast, complete genome
nc_065178.1 tillandsia disticha isolate t1284 voucher 009313-15 chloroplast, complete genome
nc_081656.1 tillandsia hammeri isolate t1115 voucher mexu:granados mendoza 1008 chloroplast, complete genome
nc_065172.1 tillandsia australis isolate t1610 chloroplast, complete genome
nc_081687.1 tillandsia machupicchuensis isolate t1642 voucher u:2010gr00645 chloroplast, complete genome
nc_081666.1 tillandsia inopinata isolate t942 voucher mexu:granados mendoza 848 chloroplast, complete genome
nc_081626.1 tillandsia caput-medusae isolate t1110 voucher mexu:1003 granados mendoza chloroplast, complete genome
nc_081712.1 tillandsia pseudooaxacana isolate t525 voucher mexu:granados-aguilar 48 chloroplast, complete genome
nc_065176.1 tillandsia cereicola isolate t1550 voucher 2008gr01438 chloroplast, complete genome
nc_081610.1 tillandsia aeranthos isolate t1592 voucher mexu:596 rossado chloroplast, complete genome
nc_081670.1 tillandsia jaliscomonticola isolate t1190 voucher mexu:granados mendoza 1072 chloroplast, complete genome
nc_084189.1 tillandsia purpurea plastid, complete genome
nc_081703.1 tillandsia paucifolia isolate t358 voucher mexu:torres cantu 1390 chloroplast, complete genome
nc_081624.1 tillandsia calothyrsus isolate t983 voucher mexu:889 granados mendoza chloroplast, complete genome
nc_081709.1 tillandsia pseudobaileyi isolate t1172 voucher mexu:granados mendoza 1054 chloroplast, complete genome
nc_064985.1 tillandsia cyanea chloroplast, complete genome
nc_081680.1 tillandsia lautneri isolate t460 voucher mexu:salazar 9578 chloroplast, complete genome
nc_081619.1 tillandsia bartramii isolate t1495 voucher mexu:17 perez flores chloroplast, complete genome
nc_081725.1 tillandsia rubella isolate t1629 voucher u:2014gr00501 chloroplast, complete genome
nc_081716.1 tillandsia recurvata isolate t866 voucher mexu:granados mendoza 800bis chloroplast, complete genome
nc_081736.1 tillandsia subteres isolate t1569 voucher u:2015gr00783 chloroplast, complete genome
nc_065179.1 tillandsia duratii isolate t1607 voucher mvfa:rossado 365 chloroplast, complete genome
nc_081613.1 tillandsia alfredo-lauii isolate t1340 voucher hgom:40 martinez-garcia chloroplast, complete genome
nc_081676.1 tillandsia lajensis isolate t1621 voucher u:2015gr00853 chloroplast, complete genome
nc_081633.1 tillandsia chapalillaensis isolate t639 voucher cicy:1076 ramirez-morillo chloroplast, complete genome
nc_081650.1 tillandsia floribunda isolate t1556 voucher u:2010gr00391 chloroplast, complete genome
nc_081648.1 tillandsia fasciculata isolate t1426 voucher cicy:carnevali s/n chloroplast, complete genome
nc_081665.1 tillandsia incarnata isolate t1613 voucher u:2007gr00374 chloroplast, complete genome
nc_065190.1 tillandsia usneoides isolate t1117 voucher mexu:granados mendoza 1010 chloroplast, complete genome
nc_081751.1 tillandsia zecheri isolate t1617 voucher u:2008gr01160 chloroplast, complete genome
nc_081635.1 tillandsia complanata isolate t1564 voucher u:2013gr00761 chloroplast, complete genome
nc_081738.1 tillandsia supermexicana isolate t1166 voucher mexu:granados mendoza 1048 chloroplast, complete genome
nc_081721.1 tillandsia roezlii isolate t1643 voucher u:2008gr01404 chloroplast, complete genome
nc_081740.1 tillandsia tectorum isolate t1006 voucher mexu:granados mendoza 912 chloroplast, complete genome
nc_081658.1 tillandsia heliconioides isolate t1789 (mk3) voucher wu:barfuss b1289/b1290 chloroplast, complete genome
nc_081694.1 tillandsia micans isolate t1625 voucher u:2008gr01433 chloroplast, complete genome
nc_065182.1 tillandsia gymnobotrya isolate t1193 voucher mexu:granados mendoza 1075 chloroplast, complete genome
nc_065177.1 tillandsia deppeana isolate t1197 voucher mexu:granados mendoza 1079 chloroplast, complete genome
nc_081623.1 tillandsia caliginosa isolate t1503 voucher u:1996gr01254 chloroplast, complete genome
nc_081651.1 tillandsia fuchsii isolate t1506 voucher u:1997gr00709 chloroplast, complete genome
nc_065171.1 tillandsia achyrostachys isolate t1109 voucher mexu:granados mendoza perez flores 1002 chloroplast, complete genome
nc_081631.1 tillandsia cees-goudae isolate t1566 voucher u:2014gr00548 chloroplast, complete genome
nc_081632.1 tillandsia chaetophylla isolate t1208 voucher mexu:1090 granados mendoza chloroplast, complete genome
nc_081741.1 tillandsia tehuacana isolate t1131 voucher mexu:granados mendoza 1024 chloroplast, complete genome
nc_081654.1 tillandsia geminiflora isolate t1605 voucher mvfa:rossado 204 chloroplast, complete genome
nc_081674.1 tillandsia klausii isolate t1646 voucher u:1999gr01451 chloroplast, complete genome
nc_065174.1 tillandsia brachycaulos isolate t1152 voucher mexu:granados mendoza 1045 chloroplast, complete genome
nc_081715.1 tillandsia rectangula isolate t1513 voucher u:1998gr00959 chloroplast, complete genome
nc_081614.1 tillandsia alvareziae isolate t1545 voucher u:2008gr01408 chloroplast, complete genome
nc_081617.1 tillandsia arroyoensis isolate t1436 voucher hgom:62 martinez-garcia chloroplast, complete genome
nc_081748.1 tillandsia werdermannii isolate t1651 voucher u:2007gr01148 chloroplast, complete genome
nc_081711.1 tillandsia pseudomicans isolate t1624 voucher u:1999gr01379 chloroplast, complete genome
nc_081700.1 tillandsia ovatispicata isolate t1619 voucher u:2010gr00439 chloroplast, complete genome
nc_081657.1 tillandsia harrisii isolate t1543 voucher u:2008gr01253 chloroplast, complete genome
nc_081729.1 tillandsia sierrajuarezensis isolate t960 voucher mexu:granados mendoza 866 chloroplast, complete genome
nc_081682.1 tillandsia limbata isolate t891 voucher mexu:granados mendoza 824 chloroplast, complete genome
nc_081675.1 tillandsia krahnii isolate t1623 voucher u:1998gr01019 chloroplast, complete genome
nc_081743.1 tillandsia tricolor isolate t1214 voucher mexu:granados mendoza 1096 chloroplast, complete genome
nc_081714.1 tillandsia rauhii isolate t1779 (mk1) voucher wu:barfuss b92 chloroplast, complete genome
nc_081696.1 tillandsia neglecta isolate t1588 voucher mvfa:rossado 593 chloroplast, complete genome
nc_081652.1 tillandsia funckiana isolate t621 voucher cicy:ramirez-morillo 2095 chloroplast, complete genome
nc_081638.1 tillandsia copanensis isolate t1519 voucher u:1999gr01382 chloroplast, complete genome
nc_081720.1 tillandsia riohondoensis isolate t1529 voucher u:2002gr01421 chloroplast, complete genome
nc_081745.1 tillandsia variabilis isolate t1481 voucher mexu:perez flores 3 chloroplast, complete genome
nc_081647.1 tillandsia extensa isolate t1650 voucher u:2008gr01445 chloroplast, complete genome
nc_081673.1 tillandsia kirchhoffiana isolate t1198 voucher mexu:granados mendoza 1080 chloroplast, complete genome
nc_081706.1 tillandsia prodigiosa isolate t1123 voucher mexu:granados mendoza 1016 chloroplast, complete genome
nc_081697.1 tillandsia nicolasensis isolate t1174 voucher mexu:granados mendoza 1056 chloroplast, complete genome
nc_081724.1 tillandsia rothii isolate t1176 voucher mexu:granados mendoza 1058 chloroplast, complete genome
nc_065175.1 tillandsia cacticola isolate t1290 voucher 015328-19 chloroplast, complete genome
nc_081663.1 tillandsia huarazensis isolate t1551 voucher u:2008gr01448 chloroplast, complete genome
nc_081630.1 tillandsia cauligera isolate t1622 voucher u:2014gr00544 chloroplast, complete genome
nc_081636.1 tillandsia concolor isolate t913 voucher mexu:162 granados-aguilar chloroplast, complete genome
nc_081679.1 tillandsia divaricata isolate t1496 voucher u:1984gr00059 chloroplast, complete genome
nc_081653.1 tillandsia gardneri isolate t1731 voucher mvfa:rossado 725 chloroplast, complete genome
nc_081681.1 tillandsia leiboldiana isolate t899 voucher mexu:granados mendoza 832 chloroplast, complete genome
nc_081717.1 tillandsia recurvifolia isolate t1589 voucher mvfa:rossado 497 chloroplast, complete genome
nc_081710.1 tillandsia pseudo-floribunda isolate t1568 voucher u:2014gr00567 chloroplast, complete genome
nc_029413.1 eragrostis tef voucher rsa:a.l. ingram:544 plastid, complete genome
nc_059740.1 eragrostis tenella voucher 11 chloroplast, complete genome
nc_059728.1 eragrostis autumnalis voucher 12 chloroplast, complete genome
nc_059738.1 eragrostis pilosa voucher 87 chloroplast, complete genome
nc_059729.1 eragrostis brownii voucher 22 chloroplast, complete genome
nc_059737.1 eragrostis perennans voucher 2020092701 chloroplast, complete genome
nc_059730.1 eragrostis cilianensis voucher 235 chloroplast, complete genome
nc_059734.1 eragrostis japonica voucher 13 chloroplast, complete genome
nc_042832.1 eragrostis setifolia chloroplast, complete genome
nc_059733.1 eragrostis fractus voucher dl184 chloroplast, complete genome
nc_059739.1 eragrostis rufinerva voucher 2020092302 chloroplast, complete genome
nc_059731.1 eragrostis cylindrica voucher 2020092401 chloroplast, complete genome
nc_059735.1 eragrostis nevinii voucher 2020092301 chloroplast, complete genome
nc_042833.1 eragrostis tenellula chloroplast, complete genome
nc_035528.1 eragrostis walteri isolate ingram656 chloroplast, complete genome
nc_059741.1 eragrostis unioloides voucher 3 chloroplast, complete genome
nc_086738.1 eragrostis nutans chloroplast, complete genome
nc_059736.1 eragrostis nigra voucher dl183 chloroplast, complete genome
nc_059727.1 eragrostis atrovirens voucher 101 chloroplast, complete genome
nc_029412.1 eragrostis minor voucher isc:l.g. clark 1333 plastid, complete genome
nc_059732.1 eragrostis ferruginea voucher 2 chloroplast, complete genome
nc_050762.1 dendrocalamus bambusoides chloroplast, complete genome
nc_050763.1 dendrocalamus brandisii chloroplast, complete genome
nc_013088.1 dendrocalamus latiflorus chloroplast, complete genome
nc_081047.1 dendrocalamus liboensis chloroplast, complete genome
nc_050760.1 dendrocalamus sikkimensis chloroplast, complete genome
nc_050766.1 dendrocalamus membranaceus chloroplast, complete genome
nc_050776.1 dendrocalamus strictus chloroplast, complete genome
nc_050758.1 dendrocalamus pulverulentus chloroplast, complete genome
nc_050755.1 dendrocalamus minor chloroplast, complete genome
nc_050761.1 dendrocalamus yunnanicus chloroplast, complete genome
nc_050764.1 dendrocalamus fugongensis chloroplast, complete genome
nc_050750.1 dendrocalamus birmanicus chloroplast, complete genome
nc_063702.1 dendrocalamus farinosus chloroplast, complete genome
nc_050752.1 dendrocalamus giganteus chloroplast, complete genome
nc_045941.1 dendrocalamus sinicus chloroplast, complete genome
nc_050746.1 dendrocalamus hamiltonii chloroplast, complete genome
nc_050747.1 dendrocalamus barbatus chloroplast, complete genome
nc_050748.1 dendrocalamus semiscandens chloroplast, complete genome
